,City_x,State,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Country Code,pop_thou,avg_5_yr_growth_thou,Percent Fertile,chrstpct,judpct,islmpct,budpct,zorpct,hinpct,sikhpct,shntpct,bahpct,taopct,jainpct,conpct,synpct,anmpct,nonpct,othrpct,sumpct,Country,City_y,AvgTemperature,pct_lt_sec,pct_some_sec,pct_some_ter
13,Amman,None,96.46062500000001,39.390625,56.303749999999994,68.58250000000001,58.330000000000005,8.57875,48.328125,78.208125,JOR,1142.0,33.0,52.759533022604174,0.06,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,Amman,64.16010144614734,0.125,0.29000000000000004,0.265
14,Amsterdam,None,174.90571428571428,97.59357142857144,66.09857142857143,69.25214285714286,82.35428571428572,10.192857142857141,28.74285714285714,32.38428571428571,NLD,1096.0,38.0,44.44224338206591,,,,,,,,,,,,,,,,,,,,,0.08499999999999999,0.405,0.27
15,Anchorage, AK,164.85750000000002,111.425,37.4725,61.0325,91.55749999999999,2.715,27.395000000000003,16.7425,USA,,,,1.4907999999999997,0.038099999999999995,0.018000000000000002,0.0218,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.0,,,,0.035,0.505,0.33999999999999997
16,Ankara,None,119.64235294117647,58.14,59.172941176470594,65.07705882352941,41.25117647058824,6.311764705882353,36.99470588235293,71.93470588235296,TUR,4708.0,523.0,52.97410301253288,0.0083,0.0004,1.9716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0048,0.0,Turkey,Ankara,50.90390675588181,0.43,0.265,0.10500000000000001
17,Ankara,None,119.64235294117647,58.14,59.172941176470594,65.07705882352941,41.25117647058824,6.311764705882353,36.99470588235293,71.93470588235296,TUR,4708.0,523.0,52.97410301253288,0.0083,0.0004,1.9716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0048,0.0,Turkey,Istanbul,59.452913878696116,0.43,0.265,0.10500000000000001
18,Antwerp,None,154.54,87.14714285714285,64.25,79.12142857142855,74.53571428571429,5.9557142857142855,37.31428571428571,60.74999999999999,BEL,993.0,22.0,44.703075087838016,1.384,0.0056,0.1,0.006,0.0,0.0007,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0593,0.0,Belgium,Brussels,51.057047269587684,0.08,0.33,0.355
19,Astana (Nur-Sultan),None,125.64999999999999,41.52,66.28333333333332,66.90666666666665,32.34,7.489999999999999,31.919999999999998,46.89666666666667,KAZ,745.0,99.0,50.65581578303932,,,,,,,,,,,,,,,,,,Kazakhstan,Almaty,49.31983810037769,0.02,0.6,0.265
20,Athens,None,95.07944444444445,48.92222222222222,48.876666666666665,52.05555555555554,67.11277777777778,10.998333333333333,38.08166666666666,65.48222222222222,GRC,,,45.0393173347059,1.8875000000000002,0.001,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261,0.0056,0.0,Greece,Athens,59.63387072243328,0.21000000000000002,0.42,0.22
21,Atlanta, GA,166.19846153846154,141.3476923076923,36.573846153846155,66.58076923076923,74.88230769230769,3.0,43.33384615384615,50.158461538461545,USA,,,,1.4907999999999997,0.038099999999999995,0.018000000000000002,0.0218,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.0,,,,0.035,0.505,0.33999999999999997
22,Auckland,None,164.68588235294118,94.90882352941176,53.705882352941174,72.85117647058823,87.47999999999999,9.83764705882353,37.896470588235296,29.198823529411765,NZL,1346.0,79.0,46.5428185994947,,,,,,,,,,,,,,,,,,New Zealand,Auckland,58.91374919058918,0.055,0.47,0.33999999999999997
